100	101	102
2.76613	0.558652	0.23
2.876	0.613	0.23
2.88318	0.613	0.23
2.99145	0.613	0.23
3.22172	0.609101	0.23
3.28411	0.599925	0.23
3.75227	0.761947	0.270133
3.97188	0.746493	0.37376
3.95451	0.672714	0.442714
3.92555	0.613	0.470493
3.99782	0.538333	0.524333
3.96476	0.520147	0.536
3.95758	0.459	0.573297
4.10537	0.459	0.613
4.19809	0.459	0.629286
4.20909	0.448636	0.621061
4.20863	0.383	0.613
4.20538	0.383	0.613
4.17783	0.383	0.613
4.01027	0.383	0.613
3.86611	0.383	0.608333
3.75853	0.383	0.558167
3.77644	0.383	0.55
3.97316	0.383	0.613
4.08556	0.383	0.656429
4.19761	0.383	0.717
4.28753	0.383	0.7616
4.38076	0.383	0.766
4.43039	0.383	0.788319
4.50303	0.383	0.843
4.53016	0.383	0.843
4.56585	0.383	0.843
4.56999	0.383	0.843
4.46688	0.383	0.812667
4.41032	0.383	0.766
4.42973	0.383	0.793113
4.46132	0.383	0.824667
4.3918	0.383	0.771833
4.24709	0.383	0.766
4.1153	0.383	0.715833
4.02315	0.383	0.689
4.09652	0.383	0.695111
4.20437	0.383	0.766
4.25552	0.383	0.766
4.22061	0.383	0.7616
4.16051	0.383	0.764778
4.14185	0.383	0.70825
4.04803	0.383	0.689
3.97242	0.383	0.689
3.91772	0.383	0.689
4.04005	0.383	0.694923
4.1966	0.383	0.754676
4.23584	0.383	0.766
4.14198	0.383	0.729906
4.08384	0.383	0.690242
4.19266	0.383	0.761662
4.25815	0.383	0.766
4.18025	0.383	0.742221
4.09834	0.383	0.693597
4.17513	0.383	0.745618
4.30759	0.383	0.766
4.39986	0.383	0.766
4.41351	0.383	0.766
4.36372	0.383	0.749261
4.3999	0.383	0.748613
4.49921	0.383	0.766
4.54774	0.383	0.766
4.59018	0.383	0.813559
4.66192	0.383	0.843
4.70439	0.383	0.843
4.71652	0.383	0.843
4.54577	0.383	0.805058
4.38382	0.383	0.766
4.37813	0.383	0.766
4.45918	0.383	0.7695
4.53877	0.383	0.8397
4.62774	0.383	0.843
4.60211	0.383	0.838838
4.62512	0.383	0.843
4.60878	0.383	0.843
4.58622	0.383	0.843
4.4443	0.383	0.827833
4.30604	0.383	0.788647
4.20818	0.383	0.766
4.26097	0.383	0.766
4.33442	0.383	0.766
4.40017	0.383	0.799153
4.44434	0.383	0.777
4.46775	0.383	0.766
4.49806	0.383	0.824333
4.51566	0.383	0.835781
4.52542	0.383	0.843
4.40815	0.383	0.774167
4.28998	0.383	0.766
4.34904	0.383	0.78094
4.44085	0.383	0.827147
4.41665	0.383	0.782649
4.32915	0.383	0.766
4.24651	0.383	0.766
4.35082	0.383	0.788508
